Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Cycling,2020-06-07 07:57:06,false,Jaraguá do Sul Cycling,14.71,584,00:53:27,133,178,3.0,--,--,16.5,33.9,56,52,0.00,0.0,0.0,0.0,0.0,0.0,53:27,0:00,0.0,0:00,No,16:39.95,3,0.0
Running,2020-03-15 08:00:30,false,Jaraguá do Sul Running,5.02,345,00:24:59,148,173,3.0,166,182,4:59,0:57,7,346,1.20,0.0,0.0,0.0,0.0,0.0,24:59,0:00,0.0,0:00,No,00:08.28,6,0.0
Running,2020-03-15 07:10:18,false,Jaraguá do Sul Running,4.92,474,00:32:38,155,173,3.6,156,184,6:38,5:15,340,--,0.96,0.0,0.0,0.0,0.0,0.0,32:38,0:00,0.0,0:00,No,05:34.45,5,0.0
Running,2020-03-12 06:41:46,false,Jaraguá do Sul Running,5.02,339,00:31:37,127,151,2.2,156,166,6:18,5:12,9,8,1.02,0.0,0.0,0.0,0.0,0.0,31:37,0:00,0.0,0:00,No,00:08.29,6,0.0
Running,2020-03-10 19:42:32,false,Jaraguá do Sul Running,3.01,220,00:18:31,136,167,2.1,159,166,6:09,2:00,7,13,1.03,0.0,0.0,0.0,0.0,0.0,18:31,0:00,0.0,0:00,No,00:07.08,4,0.0
Running,2020-03-07 08:30:06,false,Jaraguá do Sul Running,12.22,"1,324",01:25:36,165,197,5.0,152,242,7:00,3:55,546,544,0.92,0.0,0.0,0.0,0.0,0.0,1:25:36,0:00,0.0,0:00,No,01:13.74,13,0.0
Running,2020-03-05 06:44:37,false,Jaraguá do Sul - Quinta - último para Jaragua Sky,6.30,459,00:34:59,148,180,3.2,161,178,5:33,3:53,139,141,1.11,0.0,0.0,0.0,0.0,0.0,34:59,0:00,0.0,0:00,No,01:00.00,14,0.0
Running,2020-03-02 07:06:56,false,Jaraguá do Sul Running,4.03,283,00:19:34,158,174,3.1,168,213,4:51,4:27,4,10,1.23,0.0,0.0,0.0,0.0,0.0,19:34,0:00,0.0,0:00,No,00:09.36,5,0.0
Running,2020-02-29 07:08:16,false,Jaraguá do Sul - 29/fev - 1sem JaraguaSky,9.20,849,00:52:11,171,203,5.0,163,178,5:40,4:07,211,224,1.07,0.0,0.0,0.0,0.0,0.0,52:11,0:00,0.0,0:00,No,01:00.00,13,0.0
Running,2020-02-27 06:45:21,false,Jaraguá do Sul - Treino quinta 27/fev,8.00,607,00:41:06,157,181,4.0,163,180,5:08,3:47,215,219,1.19,0.0,0.0,0.0,0.0,0.0,41:06,0:00,0.0,0:00,No,00:57.10,20,0.0
Running,2020-02-25 19:05:40,false,Jaraguá do Sul Running,6.06,371,00:29:11,143,180,2.9,162,191,4:49,3:29,7,6,1.28,0.0,0.0,0.0,0.0,0.0,29:11,0:00,0.0,0:00,No,00:16.16,7,0.0
Running,2020-02-22 08:36:10,false,Jaraguá do Sul Running,8.03,662,00:47:35,155,173,3.8,162,174,5:56,4:31,339,246,1.03,0.0,0.0,0.0,0.0,0.0,47:35,0:00,0.0,0:00,No,00:10.83,9,0.0
Running,2020-02-20 07:09:58,false,Jaraguá do Sul - Quinta 20/fev,8.44,664,00:46:49,154,169,3.9,160,211,5:33,3:27,177,192,1.11,0.0,0.0,0.0,0.0,0.0,46:49,0:00,0.0,0:00,No,00:48.69,20,0.0
Running,2020-02-18 19:04:58,false,Jaraguá do Sul Running,5.33,315,00:23:32,149,184,3.0,168,197,4:25,3:11,7,8,1.33,0.0,0.0,0.0,0.0,0.0,23:32,0:00,0.0,0:00,No,01:34.74,6,0.0
Running,2020-02-16 06:55:51,false,Jaraguá do Sul Running,5.01,507,00:33:28,160,177,3.9,158,171,6:41,5:01,335,24,0.95,0.0,0.0,0.0,0.0,0.0,33:28,0:00,0.0,0:00,No,00:06.04,6,0.0
Running,2020-02-13 07:05:16,false,"Jaraguá do Sul - 2x 2km 4'40"",""4.29",337,00:22:58,160,176,3.3,165,174,5:21,4:17,210,200,1.13,0.0,0.0,0.0,0.0,0.0,22:58,0:00,0.0,0:00,No,02:00.00,6,0.0,
Running,2020-02-11 19:07:08,false,Jaraguá do Sul Running,5.32,328,00:26:38,143,186,2.7,163,184,5:01,3:33,5,7,1.22,0.0,0.0,0.0,0.0,0.0,26:38,0:00,0.0,0:00,No,01:44.55,6,0.0
Running,2020-02-08 06:59:22,false,Jaraguá do Sul Running,12.03,"1,078",01:22:57,155,175,4.3,158,189,6:54,4:21,520,523,0.91,0.0,0.0,0.0,0.0,0.0,1:22:57,0:00,0.0,0:00,No,00:09.32,13,0.0
Running,2020-02-06 06:51:00,false,Jaraguá do Sul - 4 x 2km,10.00,702,00:52:59,148,177,3.9,166,238,5:18,4:19,43,45,1.13,0.0,0.0,0.0,0.0,0.0,52:59,0:00,0.0,0:00,No,03:41.70,12,0.0
Running,2020-02-04 19:33:21,false,Jaraguá do Sul Running,3.05,154,00:13:30,131,176,2.1,169,192,4:25,3:13,2,1,1.34,0.0,0.0,0.0,0.0,0.0,13:30,0:00,0.0,0:00,No,00:13.78,4,0.0
Running,2020-02-01 06:57:36,false,Jaraguá do Sul - Sábado 01/fev20,12.03,"1,014",01:23:10,149,184,4.3,158,236,6:55,4:06,505,504,0.91,0.0,0.0,0.0,0.0,0.0,1:23:10,0:00,0.0,0:00,No,00:01.59,14,0.0
Running,2020-01-30 06:59:32,false,Jaraguá do Sul Running,4.01,254,00:18:02,157,180,3.3,166,171,4:30,4:09,111,102,1.34,0.0,0.0,0.0,0.0,0.0,18:02,0:00,0.0,0:00,No,00:02.37,5,0.0
Running,2020-01-28 19:07:47,false,Jaraguá do Sul Running,5.02,309,00:25:05,143,176,3.2,163,211,5:00,2:50,5,6,1.23,0.0,0.0,0.0,0.0,0.0,25:05,0:00,0.0,0:00,No,00:09.27,6,0.0
Running,2020-01-27 06:47:16,false,Jaraguá do Sul Running,5.06,385,00:29:38,148,175,3.6,160,211,5:52,4:37,47,35,1.06,0.0,0.0,0.0,0.0,0.0,29:38,0:00,0.0,0:00,No,00:16.29,6,0.0
Running,2020-01-25 07:04:59,false,Jaraguá do Sul - Sábado 25jan20,10.78,731,01:03:52,143,176,3.6,156,208,5:55,3:54,221,220,1.06,0.0,0.0,0.0,0.0,0.0,1:03:52,0:00,0.0,0:00,No,01:00.00,24,0.0
Running,2020-01-23 06:52:28,false,Jaraguá do Sul - Quinta 7km,7.00,512,00:36:27,158,178,4.6,163,211,5:12,3:10,168,175,1.17,0.0,0.0,0.0,0.0,0.0,36:27,0:00,0.0,0:00,No,01:02.03,14,0.0
Running,2020-01-19 07:11:45,false,Jaraguá do Sul - Run Workout (2),9.00,663,00:53:45,144,163,4.0,159,170,5:58,4:36,15,20,1.05,0.0,0.0,0.0,0.0,0.0,53:45,0:00,0.0,0:00,No,05:02.73,9,0.0
